id;name;kurztext;beschreibung;kategorie;level
1;firewall applications;Russian ROI RAM;Communications streamline;XXX;EASY
2;heuristic;Bedfordshire calculate process;B2B strategic Shoes;SPORT;ULTIMATE
3;Investor;Implementation withdrawal Borders;implementation Books;XXX;ULTIMATE
4;Oro Compatible;wireless;bleeding-edge policy;SPORT;HARD
5;hard back Brandenburg;Graphic well-modulated;deposit;XXX;EASY
6;scalable;copy deposit;Buckinghamshire compress;FRAGEN;ULTIMATE
7;Soft grey;networks plug-and-play wireless;partnerships Re-engineered Customer;XXX;MEDIUM
8;index invoice impactful;content;optical UIC-Franc Music;SPORT;HARD
9;Jewelery generation;Specialist Palladium;leading;SPORT;EASY
10;AI;non-volatile USB;Computers;XXX;EASY
